filename,emotion,category,rationale,emotion_encoded
esteban-vicente_untitled-1959.jpg,anger,MIN,Looks like the reflection of sunlight on a happy day. It's too bright to cause anger,0
esteban-vicente_untitled-1959.jpg,anger,MAX,"emerging design art colors are bright The bright fiery colors evoke a sense of rage Red is a color of anger. The fiery colors and random brush strokes convey a feeling of rage Orange and red are intense, angry colors.",0
esteban-vicente_untitled-1959.jpg,disgust,MIN,"COLORFUL PAINT SPLITS brightness,color and design The solid cleaner look. the shapes seem to be more patient, colors aren't too mismatched the bright colors give more of a warm feeling looks like a wall with unfinished painting or patching",1
esteban-vicente_untitled-1959.jpg,disgust,MAX,"The way the red and yellow shapes are placed reminds me of a rape. ROUGH STOKES AND COLOR a bit chaotic The blue thing looks like an army tank rolling over things, or, combined with the red, looks like the elephant of the Republican Party, and that's a disgusting thing to me paint little collapse colorful expressive art",1
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MIN,simple without any design only one color simple without any design very boring aspect,0
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,"When youre mad its said that youre ""seeing red"" a field of wrathful red just simple red, the others are not angry at all the stark red color feel very dark paint little collapse The strong block of pure red is like an angry shout. Bright solid red bright red colors the red color",0
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,"The plain and smooth red color makes me feel peaceful. nice colour, calm BRIGHT COLOR MAKE ME LEAST FEAR the uniformity of the colors has a calming affect light and calm just a solid color The plain red is not intense at all. It’s very drab big area of simple color bright plain boring The red is soft and calming for its simplicity. devoid of skill Simple red square with no real rhyme or reason. no particular designs and pictures",2
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MAX,feel very dark feel very dark,2
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,I dont see any emotion evoked in this painting it's mostly white its plain and white light color without any design IT LIKE A WHITE PAPER simple without any design Nothing but white canvas with paint on the edges. simple without any design just a plain white canvas simple without any design it's plain white simple without any design simple without any design,0
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MAX,Very bland and not stimulating to the mind. this is not art,0
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,"simple without any design The composition is blank and lacking in emotion. simple without any design just white with frame, nice but no emotion it seems pure and white simple without any design sheet of paper on copier simple without any design There's not much here to convey emotion I'm not sure what to say in this case, but to me, it just looks like a piece of paper. simple without any design",1
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MAX,"The white and blue elements seem to be disgusted with the dark black background.  They are exploding. feels like it has been covered up, hidden from me too plain to show disgust",1
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,Peaceful hovering red disk doing no harm. unfinished art design LIKE JAPAN FLAG Looks like a bunch of graphs put together. Nothing more than a simple red circle. LIKE A JAPAN FLAG The composition doesn't evoke any feeling looks like a sun ITS SIMPLE RED CIRCLE Looks like a nice red polka dot,0
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MAX,"Reminds me of WW II the color red Reminds me of Mars, the angry red planet.",0
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,"red circle breaks up white background The perfect red circle evokes unity, not disgust. i like the white background The red sun reminds me of a peaceful sunset, nothing disgusting. Nothing disgusting about a pretty red sun. A bright simple piece to make you happy. Though the picture consist of a big red circle, it does not make disgust Just a plain circle LIKE A JAPAN FLAG sun rising on a foggy day LIKE A JAPAN FLAG it's nice and clean",1
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MAX,"blood red as if signifies a despire The projected red color reminds something bad Reminds of Japan, WW2 Looks like the chinese flag think like me or else Reminds me of the Japanese oppression of Korean women.",1
jean-degottex_antee-iii-1956.jpg,anger,MIN,LIKE A CHINESE ART,0
jean-degottex_antee-iii-1956.jpg,anger,MAX,"The paint is plastered as if done in a rage. The image creates a feeling of disorder and anarchy. It leads to inducing anger. very sharp shape and sudden color choice the motion, and the figure looks almost like it is weilding a weapon evil sticks breaking looks like a sword cutting something The single tall branch seems to be at war with the other branches. The design is not attractive paint little collapse Looks like something was smashed apart in anger.",0
jean-degottex_antee-iii-1956.jpg,fear,MAX,"knife-like points, darkness This feels like something breaking the surface of the water, ready to attack. merge of black color disgust me most paint little collapse The black object in the center looks very menacing to the rest of the canvas. mixture of black colors make me fear paint little collapse violent scarey evil paint little collapse",2
richard-mortensen_ajaccio-i-1959.jpg,anger,MIN,"There is some positive aspect in the design which invokes positive emotions and not anger This is different as in something you could not expect to see. bright, many colours,clear its look like kids drawing Use of soothing colors and nice abstract art",0
richard-mortensen_ajaccio-i-1959.jpg,anger,MAX,the ill-fitting shapes are like a doll twisted into awkward angles These elements with jagged edges seem in conflict with each other. half evil man mask and mouth full of water The ugly brown shape reminds me of an obscene gesture made by a cery angry person.,0
richard-mortensen_ajaccio-i-1959.jpg,disgust,MIN,The colors are bright and vibrant it looks more like a  colorful The choice of flat colors and it's smooth looking surface. it looks eclectic bright color so better feel,1
richard-mortensen_ajaccio-i-1959.jpg,disgust,MAX,atmospheric art design MIXTURE OF MULTI COLOR ART MAKE ME EVOKES,1
barnett-newman_moment-1946.jpg,anger,MIN,"I find all this muted gray to be rather calming. muted pastel colors The gray gentle waves evoke mourning, but not anger. This is just rain running down a window pane--just depressing, not angry. It looks like wood, maybe fence slats with a space Bland colors and straight lines This is a restrained, composed painting, static, peaceful. It's plain and more organized. laden with ennui SIMPLY LIKE A A PVC DOOR",0
barnett-newman_moment-1946.jpg,fear,MIN,"Looks like two boards - comfy, but not scary. reminds of lamination LONG STRIP NOT MAKE ME FEAR just a door like picture straight line make me less fear It looks sad, but steely, like an unbending spine of determination natural stiff antique single strip make me least fear",2
barnett-newman_moment-1946.jpg,fear,MAX,The dark colors look like the skeleton of a nightmare. Looks like two ghosts side by side streaming by. Looking this image is door Like a curtain slowly opening to something frightening.,2
princess-fahrelnissa-zeid_the-arena-of-the-sun-1954.jpg,anger,MIN,"like a street fair The bright colors and shapes resemble confetti, conveying a festive mood This reminds me of peaceful decorative miniprint wallpaper. The miniprint design with complementary colors  is pleasing to the eye. looks like a nice field of flowers Looks like a peaceful mosaic to me. Nothing very angry about a pleasing miniprint. The bright colors look like jelly beans. All of the little dots look like candy. makes me think of a crowded beach party, or an outdoor concert. Fun, festive, popping",0
princess-fahrelnissa-zeid_the-arena-of-the-sun-1954.jpg,anger,MAX,red angry storm clouds feel very dark,0
princess-fahrelnissa-zeid_the-arena-of-the-sun-1954.jpg,happiness,MIN,DEEP ROSE COLOR MAKE ME LESS HAPPINESS The mishmash of red and other colors seems disorderly and chaotic. fusion of colors make me less a happy,3
princess-fahrelnissa-zeid_the-arena-of-the-sun-1954.jpg,happiness,MAX,"paint little collapse beautiful and attractive design and color very bright and colourful, cheerful The bright colored shapes suggest confetti reminds of freedom It's a crowded beach on the fourth of July The colors are bright and vibrant brightness,color and design BRIGHT COLOR INDICATE ME HAPPY",3
friedel-dzubas_ascona-1976.jpg,anger,MIN,"Green mountain in the sunset Abstract illustration of sun, mountains and land reminds me of my daughter's artwork brightness,color and design The calming colors They are light and calm pastel colors. The yellow gives the painting a more happy feel bright colors and design",0
friedel-dzubas_ascona-1976.jpg,anger,MAX,The orange and red wedges are hurling thenselves into the green shape in a fury. The red and orange shapes seem to be smashing into a wall in anger.,0
friedel-dzubas_ascona-1976.jpg,disgust,MIN,"bright and happy simple presentation and appearance bright happy cheerful The rainbow colors look like rays of sunlight. peaceful brushes of colors has happy colors I like the bright colors it gives me hope There is no pattern just peaceful brush strokes and colors looks like a color swatch test, non-threatening colourful and clear Looks like a few brush strokes of different color paints only. bright palette and childlike composition",1
friedel-dzubas_ascona-1976.jpg,disgust,MAX,merge of black color disgust me most paint little collapse astonishing art gallery LOW DENSITY COLOR The red and orange shapes seem to be pushing the green shape away in disgust.,1
marcelle-loubchansky_composition-abstraite-1982.jpg,anger,MIN,quite peaceful orange,0
marcelle-loubchansky_composition-abstraite-1982.jpg,anger,MAX,"looks like blood on a wall feel very dark darkness,design and appearance The fiery red colors evoke a sense of rage it looks so dark and intense. The colors and line patterns express a lot of activity. BLACK  AND DARK SHADOW darkness,design and appearance DARK SHADOW RED SHADES FEELS ANGER feel very dark darkness,design and appearance murder, someone was obviously angry when they painted this Looks like an angry eruption",0
marcelle-loubchansky_composition-abstraite-1982.jpg,fear,MAX,"darkness,design and appearance black and white color make me fear darkness,design and appearance Black and red clouds combine to create an ominous atmosphere. the shadowy darkness evokes menace absorbing clear art looks like a murder scene, bloody, messy BLACK  HAVE MORE FIGURES darkness,design and appearance The colors and brushstrokes are random and panicky darkness,design and appearance The red splashes among the black background evoke fear and panic darkness,design and appearance aesthetically pleasing design darkness,design and appearance",2
albert-bitran_moins-visible-1972.jpg,anger,MIN,The colors are muddy and muted it contains blue,0
albert-bitran_moins-visible-1972.jpg,anger,MAX,ROUGH STOKES AND COLOR ROUGH STOKES AND COLOR Looks like what a person would feel like on the inside when angry. paint little collapse a man cutting a tree It is all jumbled and angry looking It has a devil like design. So we feel angry,0
albert-bitran_moins-visible-1972.jpg,sadness,MIN,Looks like a psychedelic sunrise to me.  Happy painting. it looks like a woman It looks like a figure that is buried in the dirt. this is a happy little bluebird black color of this art form make me unhappy mixture of multi colors with dark combination make me sad,4
albert-bitran_moins-visible-1972.jpg,sadness,MAX,"LOW DENSITY COLOR The blue (often associated with depression) seems to be simmering inside the brown body, about to burst out. SOME FIGURES ARE THERE gives troubled feelings sad parrot fish hybrid SOME FIGURES ARE THERE",4
david-kakabadze_sailboats-1921(1).jpg,anger,MIN,"bright color so better feel the yellow and blue There is something cold and geometric in this image, without anger being displayed. bright color so better feel teepees in the sun the triangular and wavy lines are like sails on a calm sea shade and geometric shapes the blue and yellow colors",0
david-kakabadze_sailboats-1921(1).jpg,anger,MAX,the whole picture looks agressive,0
david-kakabadze_sailboats-1921(1).jpg,disgust,MIN,"This is an elegant image with sharp angles and pretty colors, reminding me of a great city. bright color so better feel looks like a boat These multicolored bars remind me of solidarity, not disgust. The colors provide a calming effect and the use of shapes provides a less disgusting feeling. the peaks and folds are a ceremonial tent for native people",1
gerardo-dottori_explosion-of-red-on-green-1910.jpg,anger,MAX,paint little collapse Those jagged red lines suggest anger. Anything red and jagged reminds me of anger. You can feel nasty waves in this piece. The red paint is jagged and thrown around like blood. The loud coloring and frantic jagged lines suggest rage feel very dark The jagged red lines look like a crackling dangerous fire. feel very dark sharp colors and jagged lines The jagged lines and bright red are violent and angry,0
gerardo-dottori_explosion-of-red-on-green-1910.jpg,fear,MIN,"looks like maple leaves The red lines look like energy flowing through someone. There is something reminiscent of fireworks in this image, but nothing to fear. geometric pattern of colors make me less happy",2
gerardo-dottori_explosion-of-red-on-green-1910.jpg,fear,MAX,"The jagged red shapes remind me of the brainwaves of a panicked person. sharp images, the chaos is in your face paint little collapse suggest lightening, electricity looks like hunting trap with teeth The rough red lines look like spilled blood. black and white color make me fear",2
roger-bissi-re_composition-in-blue-1959.jpg,anger,MIN,"peaceful green reminds of farming CLASSIC PAINT SHADES The colors are muted and the composition is orderly. The blue and green are calming. LIKE A WATER COLOR PAINTING colors are soft, dabs of paint look cheerful",0
roger-bissi-re_composition-in-blue-1959.jpg,anger,MAX,feel very dark looks like maybe the patterns were dabbed on quickly and angrily as if force is about to burst out of the cage,0
roger-bissi-re_composition-in-blue-1959.jpg,happiness,MIN,"LOW FADE COLOR the muted palette is almost gloomy LOW FADE COLOR dull and unattractive color dullness, color and design LOW FADE COLOR It is very muddy and makes me feel dirty. it is more calming than happy aspect like children game geometric pattern of colors make me less happy dull design without bright or attractive color",3
roger-bissi-re_composition-in-blue-1959.jpg,happiness,MAX,feel very dark,3
bram-van-velde_l-unique-iii-1973.jpg,anger,MIN,"It reminds me of a soda can, which is generally in a setting that's fun or relaxed. the black and red are like the give and take of a mutual compromise",0
bram-van-velde_l-unique-iii-1973.jpg,anger,MAX,"The red color invokes rage confusing dark black and red feel very dark paint little collapse The black object looks like a penis in an angry rape scene. ROUGH STOKES AND COLOR looks like a big bird eating an eyeball It's very red and loud All that red and the lines moving around suggest a mind in anger. The bold red could give an angry feeling. Very red and loud it's bloody and boiling All that red in the middle suggests anger andrage This makes me think of a operating room, with blood and organs.",0
bram-van-velde_l-unique-iii-1973.jpg,disgust,MIN,"I can see how this painting could be interpreted many ways (a person, a piece of furniture, etc.), but whatever it is, the linework in which it's displayed is gentle and pleasing.",1
bram-van-velde_l-unique-iii-1973.jpg,disgust,MAX,gross vulgar sickness bright colors make me evokes The black rod resembles a penis involved in rape. The intense blood red evokes disgust. The muddy coloring and blob like shapes create a nauseous effect the red and black colors ROUGH STOKES AND COLOR reminds me of a bloody body Irritating design and color has dark emotion,1
olivier-debre_blanche-ocre-1973.jpg,anger,MIN,"The earth colors have calming earth feelings serenity, calmness and color of the design it is white and calming LOW FADE COLOR reminds me of a windy ocean day with the blue brush strokes LOW FADE COLOR white ethreal feel The beige and blue seem balanced to me. calm waves beige looks like a sunny sandy beach Just a lot of nice upward brushstrokes The paint looks like it was smoothly laid out. The blue and cream swirls remind me of a peaceful marble wall, cool and restrained. black color of this art form make me angry seems the calmest Nothing angry about blue curves and a beige background.",0
olivier-debre_blanche-ocre-1973.jpg,sadness,MIN,"quite peaceful actually The blue splotches look like birds flying in the sky. LOW FADE COLOR as if waves in a fast flowing river The blue and cream swirls remind me of marble.  This is a serene, not a sad painting. Looks like a peaceful marble surface to me. the broad brush strokes are likes waves splashing at my feet lots of white makes the painting feel uplifting it had bright colors",4
olivier-debre_blanche-ocre-1973.jpg,sadness,MAX,I see a woman facing to the left and crying the windswept feel evokes loneliness,4
conrad-marca-relli_the-surge-1958.jpg,anger,MIN,very interesting and busy color combination is vivid complex and puzzled person looking calmly in crowd,0
conrad-marca-relli_the-surge-1958.jpg,anger,MAX,"IT HAS UGLY CLASSIC FIGURES dead people piled use of huge streaks of red and black seem to express anger This is a busy painting with a lot of warring elements. The lines and designs look like they were done in anger, a lot of jagged lines",0
conrad-marca-relli_the-surge-1958.jpg,disgust,MIN,A nice blend of calming colors. black color is main reason for least intensely,1
conrad-marca-relli_the-surge-1958.jpg,disgust,MAX,"its very busy The disparate elements look like something about to erupt in disgust. muddled, foreboding, chaotic It looks like a pile of dead bodies. The black and red splotches The painting show a lot of chaos paint little collapse looks like people fighting The images are all too clumped together too closely. paint little collapse",1
antonio-calderara_spazio-luce-1963.jpg,anger,MIN,Nothing angry about a red sheet. LIGHT PLAIN BACKGROUND There is nothing to this image to convey any emotion not much going on here just a simple solid color There is not much here except red paint. looks like a red card or envelope of invitation for an event,0
antonio-calderara_spazio-luce-1963.jpg,anger,MAX,"one shade of red is not art feel very dark red is angry and I'm angry that just one color is considered ""art"" RED IS ALMOST ALWAYS ASSOCIATED WITH ANGER a field of angry red feel very dark",0
antonio-calderara_spazio-luce-1963.jpg,disgust,MIN,"While red is an emotional color, it doesn't convey disgust. empty red make me less intensity This image doesn't convey much feeling at all Nothing more than a red box. simple without any design There is nothing but red here, I love red.",1
antonio-calderara_spazio-luce-1963.jpg,disgust,MAX,"the bright red color pure red, like blood",1
mark-rothko_untitled-1970.jpg,anger,MIN,a solid color Happy bright red coloring.,0
mark-rothko_untitled-1970.jpg,anger,MAX,shades of red are angry that red gives us anger red is an angry color Red gives the anger feel the blocks are enemies in a psychotic state of seeing red I always associate red with intense feelings such as anger. the dark color of red.,0
mark-rothko_untitled-1970.jpg,disgust,MIN,just a single color image soothing composition and similar colors,1
mark-rothko_untitled-1970.jpg,disgust,MAX,"feel very dark The two red blocks seem disgusted with each other, given the line. paint little collapse",1
friedel-dzubas_sartoris-1963.jpg,anger,MIN,"pastel colors are placid big areas of light, pleasant colors just two big dots with white background the blue and orange happy calm colors The orange and blue complement each other, thus suggesting harmony rather than anger. Just a few paint blobs with no feeling for nothing. The bright colors and composition are fun and whistful. Looks like two bowls of melting sherbet trying to give each other the finger. Not friendly, but not furious, either. pastel colors are calming",0
friedel-dzubas_sartoris-1963.jpg,anger,MAX,"Literally, the blue shape blew its orange top in anger! not a good design and color The orange element so far away from the blue reminds me of someone blowing their lid in anger.",0
friedel-dzubas_sartoris-1963.jpg,happiness,MIN,Not much to this composition to evoke any feeling dull design without bright or attractive color LOW FADE COLOR white back ground The colors are muted and the image is sparse The colors are very muted,3
friedel-dzubas_sartoris-1963.jpg,happiness,MAX,The orange element seems to have escaped the earth and is leaping into the sky in joy.,3
giulio-turcato_il-tunnel-1970.jpg,anger,MIN,"The blue blob in the center resembles an embryo to me, evoking joy, not anger. The bright and cheerful colors actually evoke happiness on this painting. bright and bold It's very bright and colorful This is like a retro '60s/'70s piece that looks like a deviled egg...nothing to be angry about colourful and nice shapes downright happy, soothing image, comforting it looks like an interpretation of positive emotions or feelings Happy colors and round shapes. primary shapes and colors reminds of an egg Reminds me of a fried egg sandwich.",0
giulio-turcato_il-tunnel-1970.jpg,anger,MAX,THE COMBINATION OF UNRELATED COLOR like a scream of anger depiction,0
giulio-turcato_il-tunnel-1970.jpg,fear,MIN,"Circles are non threatening Like a retro '60s/'70s deviled egg at a picnic--nothing to be afraid of. COLOR FULL RINGS NOT MAKE ME FEAR Looks like the paint in a children's bedroom. BRIGHT COLOR MAKE ME LEAST FEAR the neon makes it totally non-threatening This images smooth colors are comforting, suggest being in the womb. Not much feeling is conveyed here nice colorful circles welcoming, like entering the womb The bright orange and yellow evoke cheerfulness and not fear. bright color so better feel non-sharp shapes and mild color transition",2
giulio-turcato_il-tunnel-1970.jpg,fear,MAX,Reminds me of a mind descending into madness with the deep blue oval being the end. strips of multi colors make me fear,2
mira-schendel_untitled-1963(1).jpg,anger,MIN,"This piece is interesting because it is simple but curious. it's a diamond symbolic political flag Nothing angry about two diamonds. plain background wallpaper Very calm and orderly They're perky, cheeky, twisting shapes, like they feel amused by something simple shapes and colors",0
mira-schendel_untitled-1963(1).jpg,anger,MAX,"The sharp edges in this painting suggests conflict and anger. Being that protesters are in the streets for Black Lives Matter, I see this as two white cops on top of a black person--full of anger. Dark colors and the pattern is everywhere. very dark, agressive",0
mira-schendel_untitled-1963(1).jpg,disgust,MIN,concise color and shape The two white diamonds seem to like each other a lot. looks like a poker card with the type diamonds geometry cant evoke emotions reminds me of pattern on a sweater its simple and plain,1
mira-schendel_untitled-1963(1).jpg,disgust,MAX,puke yellow and globular in shape dark colors and shapes reminds me of something dirty I see a face on the left.  The eye is downcast and has a look of disgust.,1
esteban-vicente_red-field-1972.jpg,anger,MIN,single color image neutral art design Plain red with nothing more The reds and pinks look calming. The different shades of red and orange remind me of a peaceful sunset.,0
esteban-vicente_red-field-1972.jpg,anger,MAX,The color red makes you angry sometimes. the red color looks like a wall with vague and obscure blood bright red colors The red red rage The shades of orange and red remind me of a person with a violent temper.,0
esteban-vicente_red-field-1972.jpg,fear,MIN,bright and nicely blended tones The orange and red remind me of a beautiful and hopeful sunrise. the blurry bright colors are like waking up with eyes still closed it's very plain,2
esteban-vicente_red-field-1972.jpg,fear,MAX,feel very dark It's all red and looks like blood paint little collapse,2
ron-gorchov_lure-ii-1976.jpg,anger,MIN,looks anthropomorphic to me it doesn't have red/angry colors looks like a household electical outlet earth tones and simple shapes seem calm not angry it is simple Looks like a pig The two green shapes and the brown background remind me of sushi lunch. pair of innocent eyes Nothing angry about green stripes on a brown background.,0
ron-gorchov_lure-ii-1976.jpg,anger,MAX,"Because of the shape, wooden appearance, and minimal painting, my first thought was that this is some kind of tribal shield, and the angry feeling comes from thinking that some archaeologists dug it up and stole from the tribe and put it in a museum somewhere. its very stark looking. This image IS anger!",0
ron-gorchov_lure-ii-1976.jpg,happiness,MIN,"ITS JUST A WOOD DESIGN Looks like an abstract electrical socket--not much to get excited about. There is little or no emotion conveyed in this composition. dullness, color and design dull and bland Could be a discolored wall plug! colors are duller and there is less movement than in the other paintings double green strips make me less happiness The two separate green marks remind me of a divorced couple. ITS LIKE  WOODEN",3
ron-gorchov_lure-ii-1976.jpg,happiness,MAX,This looks like a version of a happy face.  The two green lines seem compatible.,3
fred-sandback_blue-day-glo-corner-piece-1968.jpg,anger,MIN,"This looks more like an architectural drawing for some corner of a building, so it's more technical than anything--emotionless. Nothing here to convey any feeling the outline is like an open book ready for the reader's pleasure It is so basic there is nothing to get angry about. The composition is sparse and doesn't evoke much feeling simple white color simple without any design reminds of an art class looks ordered, controlled, and not mad There is nothing disgusting about this simple line drawing. There is something appealing about this spare painting. The sparse compostion suggests no feeling The image and coloring are sparse and don't really convey any feeling Reminds me of three Muses, not angry.",0
fred-sandback_blue-day-glo-corner-piece-1968.jpg,happiness,MIN,"Blank square looks like a plain book cover dullness, color and design More baffled rather than happy over this childish line drawing. plain white and boring bland colors and a sense of emptiness dullness, color and design SIMPLY A SHAPE DRAW straight dull harsh The bleakness of the image evokes no emotion It is just a white shape, nothing to interact with",3
fred-sandback_blue-day-glo-corner-piece-1968.jpg,happiness,MAX,I like being alone in my room. This looks like the corner of a room free of chaos. it is white,3
barnett-newman_vir-heroicus-sublimis-1951.jpg,anger,MIN,"bland and just one colour Very plain and boring solid colour It's simply red, there's very little pattern to it to invoke anything beyond the color itself. The red shades are inspiring, but not necessarily angry. The image is sparse and convey no emotion",0
barnett-newman_vir-heroicus-sublimis-1951.jpg,anger,MAX,"very bright red colors color, appearance and presentation loud feisty bloody The color of red is the color of anger. bright red colors it's bright red feel very dark a field of red seems angry bright red colors",0
barnett-newman_vir-heroicus-sublimis-1951.jpg,disgust,MIN,"Four calm red rectangles are peaceful, but not disgusting. brightness, luminosity and color Pretty much a plain red piece of art--no imagery to evoke any kind of emotion. The color red isn't like blood, or else it might be disgusting. It's more like a poppy flower red. looks like a fabric no design in this art The lack of lines or color does not evoke anything LIKE A VECTOR BACKGROUND irrelevant design art Colors are bright and attention grabbing. red color make me least intensity",1
patrick-heron_horizontal-stripe-painting-november-1957-january-1958-1958.jpg,anger,MIN,"some sort of serenity in the picture it's a color scheme Reminds me of a nice layer cake, nothing to suggest anger. The series of colored bands suggest harmony and peace. the straight lines with upbeat colors denote peace and tranquility The image is regular with warm earthy colors and remind me of the calm of earth and nature. The muted colors are calm and the composition is orderly LOW FADE COLOR very smooth lines with calm neutral colors its plain colors",0
patrick-heron_horizontal-stripe-painting-november-1957-january-1958-1958.jpg,anger,MAX,"Repeated bands of color, like a rage. LOW DENSITY COLOR paint little collapse it has a lot of red LOW DENSITY COLOR",0
patrick-heron_horizontal-stripe-painting-november-1957-january-1958-1958.jpg,happiness,MIN,dull design without bright or attractive color LOW FADE COLOR LOW FADE COLOR dull design without bright or attractive color LOW DENSITY COLOR LOW FADE COLOR,3
